data_index,objective,lower_mold_temp2,cast_pressure,upper_mold_temp2
0,0.0,164.23463774320237,692.4705629346158,118.23965707943039
1,0.0,152.06483365444217,669.8356880319067,191.70520462338385
2,0.0,217.1825505168867,710.885262746456,115.96893312384462
3,0.0,236.16707691581672,908.373334208281,232.68337418186874
4,0.0,202.57915109616195,590.1532792723779,195.0144121655992
5,0.0,235.911618061559,810.5183973370888,220.4892529965399
6,0.0,208.61818469477214,400.40691557443796,129.76169000571005
7,1.0,289.2384602334131,589.519676452067,112.90928712585053
8,0.0,139.91543649718238,744.567551251582,119.72447788525633
9,0.0,181.3129968392144,942.746702405463,235.35930932548695
10,0.0,189.18109370356333,968.9082836053334,154.49014896064338
11,0.0,190.83037817979888,999.508432706318,201.3095555369685
12,0.0,209.96920197775563,476.21365910860084,105.88996442080602
13,0.0,175.29220464776665,572.3927807016189,121.32545027226718
14,0.0,273.35789010113365,308.0670541633407,159.67679327945967
15,0.0,245.1197291500756,328.8939746569049,175.25298576287622
16,0.0,221.3270683752363,336.9796087703191,114.11164495275867
17,0.0,249.1493534636852,771.503223201147,267.4566643351945
18,0.0,320.06240671370995,606.0423943858818,234.08446116683442
19,0.0,179.5828604192721,652.9076473449269,107.3457601572911
20,0.0,291.58960868554124,856.978563013672,268.77310511211124
21,0.0,267.89117407276535,890.9237112269336,110.90788893768898
22,0.0,305.69062205766204,834.2477935519287,198.51213895097476
23,0.0,270.2872543145571,552.8978895778848,217.91279906514757
24,0.0,207.80043072367533,368.4855923391341,217.3598996196943
25,0.0,139.5754598189494,536.8490285419792,210.98391565149694
26,0.0,315.10584920537076,829.658246085656,215.949602442198
27,0.0,286.03196263059147,850.4761044088999,254.49769637762503
28,0.0,219.54233192293333,549.2587466014973,210.25907487778352
29,0.0,265.44892090025206,975.8545363981337,193.4595041232611
30,0.0,238.3214031337639,740.1492543967721,144.92857616414608
31,0.0,163.4760219317372,661.139535657803,235.41338677867333
32,0.0,266.3625800850484,590.6411461126631,237.84790725201077
33,0.0,312.885162661441,716.3223074419424,134.74390044508147
34,0.0,297.49317470963535,945.0732199334997,155.81727859937348
35,0.0,243.54806729364606,544.3938618348167,253.21544521392235
36,0.0,148.3841067548865,735.4597333456081,248.50175268622672
37,0.0,293.61117507653273,779.8624537241385,157.26430247042737
38,0.0,287.220329684113,730.9388130267396,141.24305068667547
39,0.0,182.4536444407765,306.69986293285535,127.09823213870015
40,0.0,271.50743991718343,834.9420979521219,174.87624509524454
41,0.0,251.80268770858987,977.914962767952,170.8663768840542
42,0.0,255.14611093376402,608.6144547063597,189.26084431927194
43,0.0,146.9282495157228,915.1322750585445,147.14787808510445
44,0.0,274.5986316264996,400.16770351465766,114.33926390804547
45,0.0,300.3337709514774,912.4339581066754,230.8218964228016
46,0.0,198.20361482553096,713.819697228904,233.0124411017331
47,0.0,287.1728722151646,861.1261633787414,234.05560660755003
48,0.0,254.56907003161734,778.0545393898899,231.1142170884533
49,0.0,141.85942976774066,949.5448796978386,252.82067349983535
50,0.0,309.79158683328774,709.9963634551342,261.9968159696051
51,0.0,320.99233644531887,646.1029413586327,227.92475698933845
52,0.0,181.80169574573029,492.15617332425245,153.71187379714297
53,0.0,174.50243455069426,481.36591724891355,267.7045251484153
54,0.0,302.2193782618656,300.7428918135543,179.70721289270824
55,0.0,241.54374390509616,781.6920214873755,165.01608989981133
56,0.0,209.4506067442752,842.7512697789472,195.58334114448508
57,0.0,297.1456301615309,493.0851249375347,204.580197947717
58,0.0,320.66928427221063,868.4215718670071,187.36637153290582
59,0.0,298.65628456923275,805.7939465246534,237.2520035580422
60,0.0,213.2713932685856,460.20473425264345,148.36870137990047
61,0.0,309.93842820294697,614.8755264359058,213.65161733803538
62,0.0,247.8189810154496,366.10073064696047,201.30615761872681
63,0.0,274.06777865891,951.3891723219914,230.4150252480082
64,0.0,260.034365903029,361.4944682763528,221.1071878659065
65,0.0,290.8723477264856,510.10039150998784,117.40711975421743
66,0.0,317.36584078706187,647.378310588061,192.97075054710206
67,0.0,236.66264923042047,603.9616690491059,261.3862221131881
